563019,28
510084,48
552822,19
566934,11
648696,54
962382,30
332104,57
106650,45
124237,27
475855,56
532454,11
406437,28
323831,50
856681,12
515956,36
428331,30
796247,17
20312,1
258281,44
330723,49
528917,2
276103,36
765962,25
472656,25
157465,22
471353,21
893101,30
404339,48
469810,46
831651,41
336053,8
910398,35
206209,34
439029,1
835945,58
456436,21
489200,31
763830,15
130607,1
734580,11
312791,4
280751,39
167772,27
981956,51
601398,20
70164,47
822650,52
658855,54
374741,11
59220,8
200441,55
835567,20
724990,54
261794,55
949366,53
283331,22
345158,49
263707,21
635050,51
284872,43
408677,59
767584,16
997247,3
908795,56
865934,28
776603,10
460454,42
970067,1
291335,33
574097,52
459072,2
435360,44
31422,29
484901,38
852717,6
376742,38
103662,29
258987,6
258770,58
84640,42
758228,16
233448,35
304876,28
710384,6
349392,1
882348,38
707199,5
792957,31
633104,45
354652,25
878411,38
53550,60
809999,5
703960,26
150648,1
656747,22
424698,52
820189,12
703462,16
348684,6
767764,22
629699,48
200366,28
513121,27
960984,31
413160,11
270844,8
772774,34
582902,18
326067,30
572147,26
534407,51
724210,33
98736,53
515708,4
783492,26
805532,15
258506,17
854297,8
202987,20
125377,18
872783,59
282111,5
973524,19
184143,40
199151,27
70434,37
241983,40
289941,51
652858,55
65019,57
464040,20
899479,53
239000,21
328676,45
817207,42
86765,60
79071,14
905040,57
60805,49
120064,53
880836,6
617003,57
855828,5
946444,54
771186,49
250312,28
505594,11
887326,35
59166,53
735889,31
29764,38
943552,13
848498,38
170345,12
641495,15
391243,55
72691,39
485039,1
63972,56
965218,2
302823,36
620347,40
648576,49
84620,43
61499,27
626179,8
798208,53
466622,27
161060,54
380645,60
908625,45
712473,23
294570,33
754604,35
460755,20
824462,30
880850,52
353433,6
752357,2
210607,19
413159,23
910181,8
76241,42
50594,27
96062,22
713128,20
994145,6
421745,57
312724,50
77054,49
27522,19
68261,60
165831,5
424089,33
370282,9
760240,60
906837,21
280264,51
68897,34
539665,2
589948,50
254312,13
304812,17
53326,55
338372,43
568153,27
360633,36
196050,45
132004,46
329991,52
234642,39
211514,27
123160,13
845093,37
335368,43
283326,46
756698,12
603877,52
11385,39
748733,1
723694,44
599792,44
702615,56
838682,5
502930,33
357623,41
242052,48
827587,47
505142,31
568461,10
506063,22
872919,49
817390,36
627122,53
104171,26
434306,1
440116,8
244507,7
955342,6
3141,16
763291,4
674568,48
558304,45
923734,31
438497,51
681983,19
889159,10
328893,10
333455,50
982635,55
677414,54
416504,5
176116,32
10185,18
520472,46
934030,58
666260,43
393094,27
12813,53
185369,38
918923,15
491200,24
733526,47
766425,58
186186,29
553689,7
325850,28
393086,32
786139,25
539897,28
928623,52
551954,7
525212,32
652155,32
681770,43
656981,44
286253,57
566822,14
395592,53
149964,15
27699,10
370414,17
454591,41
167933,13
900515,5
607920,42
350146,31
243045,21
604652,15
961299,26
105136,24
683581,48
245429,54
137398,57
976019,23
587100,24
496835,10
681976,12
396928,23
12509,48
110723,50
639201,6
269092,26
426053,2
599052,5
378083,2
485392,21
527894,6
592256,53
582326,7
681296,28
174969,57
885714,50
770702,23
203802,40
764550,60
959837,50
204357,29
349814,44
384972,19
806317,27
692133,15
426838,58
776076,10
660910,31
198090,12
303612,47
913453,9
167412,1
801631,39
893775,60
444621,11
606272,32
453224,32
405693,59
79332,18
871875,56
806893,25
535954,1
533019,6
411778,21
454268,46
527472,17
481223,59
954181,29
230185,40
701829,3
699763,14
961422,19
237245,2
768512,37
129211,13
401743,39
458103,41
151388,59
760052,55
848902,52
962355,48
438050,27
866586,7
600680,8
196967,16
375694,31
360352,38
385615,53
293443,38
60636,3
830913,45
165485,4
257139,4
75061,44
633115,24
556885,36
597919,2
996568,55
987123,53
235642,40
409647,40
672693,26
405977,48
213565,18
268927,59
834530,30
805555,13
368279,5
711211,4
998036,41
105006,56
110319,23
968551,17
479703,53
983104,25
452614,57
652931,33
418041,6
213016,21
534234,59
252519,28
141026,10
706514,33
533844,31
347076,56
809555,50
552964,37
622421,43
983174,34
577344,18
894545,27
784117,32
42520,47
905987,8
789590,60
953661,19
229716,4
860210,53
27281,36
367579,48
190536,60
971321,2
485795,50
269200,35
515383,33
572765,15
343298,56
567017,10
92637,1
172322,17
962842,12
899600,22
509791,57
71729,23
300763,57
677866,59
729258,40
432089,56
287330,31
561021,32
667419,31
814953,46
609401,24
